"","iso3","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","country.name"
"1","AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"Afghanistan"
"2","BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Burundi"
"3","BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Benin"
"4","BFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Burkina Faso"
"5","BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Bangladesh"
"6","BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"Bolivia, Plurinational State Of"
"7","BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Botswana"
"8","CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,"Central African Republic"
"9","CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"Cote D'Ivoire"
"10","CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cameroon"
"11","COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,"Congo, The Democratic Republic Of"
"12","COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Congo, Republic Of"
"13","COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Colombia"
"14","DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Djibouti"
"15","DOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Dominican Republic"
"16","DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Algeria"
"17","EGY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Egypt"
"18","ERI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Eritrea"
"19","ETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Ethiopia"
"20","GIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Guinea"
"21","GMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Gambia"
"22","GNB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Guinea-Bissau"
"23","GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Guatemala"
"24","HND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Honduras"
"25","HTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Haiti"
"26","IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Indonesia"
"27","IRQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"Iraq"
"28","JAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jamaica"
"29","JOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Jordan"
"30","KEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"Kenya"
"31","KGZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kyrgyzstan"
"32","KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cambodia"
"33","LAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Lao People'S Democratic Republic"
"34","LBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"Lebanon"
"35","LBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Liberia"
"36","LBY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Libyan Arab Jamahiriya"
"37","LKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Sri Lanka"
"38","LSO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lesotho"
"39","MDG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Madagascar"
"40","MLI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Mali"
"41","MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Myanmar"
"42","MNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mongolia"
"43","MOZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mozambique"
"44","MRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mauritania"
"45","MWI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Malawi"
"46","NAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Namibia"
"47","NER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Niger"
"48","NGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"Nigeria"
"49","NPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Nepal"
"50","PAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"Pakistan"
"51","PHL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,"Philippines"
"52","PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Korea, Democratic People'S Republic Of"
"53","RWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Rwanda"
"54","SDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,"Sudan"
"55","SEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"Senegal"
"56","SLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sierra Leone"
"57","SOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"Somalia"
"58","SSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,"South Sudan"
"59","SWZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Swaziland"
"60","SYR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,"Syrian Arab Republic"
"61","TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Chad"
"62","THA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Thailand"
"63","TJK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Tajikistan"
"64","TUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Tunisia"
"65","TUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Turkey"
"66","TZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Tanzania, United Republic Of"
"67","UGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Uganda"
"68","UZB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Uzbekistan"
"69","VUT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Vanuatu"
"70","YEM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"Yemen"
"71","ZAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South Africa"
"72","ZMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Zambia"
"73","ZWE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Zimbabwe"
